graine,score,action,12
51,-131.0
52,-377.0
53,-279.0
54,-45.0
55,-113.0
56,-338.0
57,-142.0
58,-46.0
59,-266.0
60,-103.0
61,-191.0
62,-338.0
63,-315.0
64,-331.0
65,-243.0
66,-46.0
67,-105.0
68,-102.0
69,-53.0
70,-131.0
71,-436.0
72,-212.0
73,-364.0
74,-118.0
75,-186.0
76,-109.0
77,-13.0
78,-223.0
79,-230.0
80,-111.0
81,-27.0
82,-24.0
83,-66.0
84,-35.0
85,-262.0
86,-174.0
87,-180.0
88,0.0
89,-102.0
90,-331.0
91,-69.0
92,-83.0
93,-206.0
94,-207.0
95,-434.0
96,-375.0
97,-228.0
98,-58.0
99,-318.0
100,-351.0
