graine,score,action,135
51,-56.800000000000026
52,-57.800000000000026
53,-56.800000000000026
54,-57.700000000000024
55,-57.800000000000026
56,-57.800000000000026
57,-56.800000000000026
58,-57.800000000000026
59,-56.800000000000026
60,-57.800000000000026
61,-56.800000000000026
62,-56.700000000000024
63,-56.800000000000026
64,-57.800000000000026
65,-57.800000000000026
66,-56.800000000000026
67,-56.800000000000026
68,-58.700000000000024
69,-57.800000000000026
70,-56.800000000000026
71,-56.800000000000026
72,-56.800000000000026
73,-56.800000000000026
74,-56.800000000000026
75,-57.800000000000026
76,-57.700000000000024
77,-57.800000000000026
78,-57.800000000000026
79,-56.800000000000026
80,-57.800000000000026
81,-57.800000000000026
82,-57.800000000000026
83,-57.800000000000026
84,-56.800000000000026
85,-57.800000000000026
86,-57.700000000000024
87,-57.800000000000026
88,-58.800000000000026
89,-57.800000000000026
90,-57.800000000000026
91,-56.800000000000026
92,-56.800000000000026
93,-57.800000000000026
94,-57.800000000000026
95,-56.800000000000026
96,-56.800000000000026
97,-58.800000000000026
98,-56.700000000000024
99,-57.800000000000026
100,-57.800000000000026
