scenario,decideur,run,cat_executee,cat_intention,actions_executees,actions_intention
4a_piege_victime_source_noyee,regle,10,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,11,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,12,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,13,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,14,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,15,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,16,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,17,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,18,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,19,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,20,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,21,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,22,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,23,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,24,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,25,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,26,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,27,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,28,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,29,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
4a_piege_victime_source_noyee,regle,30,nuisible,nuisible,isolate_pod:open5gs-smf-0,isolate_pod:open5gs-smf-0
5_plan_de_controle,regle,1,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,2,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,3,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,4,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,5,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,6,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,7,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,8,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,9,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,10,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,11,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,12,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,13,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,14,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,15,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,16,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,17,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,18,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,19,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,20,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,21,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,22,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,23,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,24,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,25,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,26,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,27,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,28,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,29,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
5_plan_de_controle,regle,30,correct,correct,isolate_pod:app-metrics-0,isolate_pod:app-metrics-0
4b_piege_victime_source_saillante,regle,1,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,2,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,3,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,4,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,5,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,6,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,7,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,8,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,9,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,10,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,11,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,12,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,13,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,14,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,15,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,16,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,17,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,18,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,19,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,20,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,21,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,22,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,23,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,24,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,25,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,26,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,27,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,28,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,29,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
4b_piege_victime_source_saillante,regle,30,correct,correct,isolate_pod:attacker-pod,isolate_pod:attacker-pod
