graine,score,invalides
355,-79.0,0
356,-37.0,0
357,-43.0,0
358,-310.0,0
359,-205.0,0
360,-362.0,0
361,-106.0,0
362,-269.0,0
363,-268.0,0
364,-244.0,0
365,-247.0,0
366,-144.0,0
367,-231.0,0
368,-34.0,0
369,-98.0,0
370,-252.0,0
371,-35.0,0
372,-195.0,0
373,-347.0,0
374,-33.0,0
375,-140.0,0
376,-258.0,0
377,-294.0,0
378,-79.0,0
379,-187.0,0
380,-129.0,0
381,-29.0,0
382,-355.0,0
383,-139.0,0
384,-326.0,0
385,-273.0,0
386,-290.0,0
387,-211.0,0
388,-111.0,0
389,-95.0,0
390,-233.0,0
391,-217.0,0
392,-216.0,0
393,-215.0,0
394,-142.0,0
395,-126.0,0
396,-291.0,0
397,-358.0,0
398,-221.0,0
399,-423.0,0
400,-63.0,0
401,-130.0,0
402,-102.0,0
403,-30.0,0
404,-27.0,0
405,-305.0,0
406,-363.0,0
407,-338.0,0
408,-134.0,0
409,-114.0,0
410,-384.0,0
411,-56.0,0
412,-159.0,0
413,-300.0,0
414,-24.0,0
415,-135.0,0
416,-167.0,0
417,-320.0,0
418,-118.0,0
419,-255.0,0
420,-163.0,0
421,-346.0,0
422,-55.0,0
423,-306.0,0
424,-111.0,0
425,-248.0,0
426,-204.0,0
427,-275.0,0
428,-90.0,0
429,-205.0,0
430,-318.0,0
431,-411.0,0
432,-100.0,0
433,-362.0,0
434,-378.0,0
435,-316.0,0
436,-196.0,0
437,-341.0,0
438,-42.0,0
439,-61.0,0
440,-227.0,0
441,-28.0,0
442,-293.0,0
443,-17.0,0
444,-368.0,0
445,-382.0,0
446,-309.0,0
447,-360.0,0
448,-354.0,0
449,-237.0,0
450,-362.0,0
451,-278.0,0
452,-347.0,0
453,-161.0,0
454,-243.0,0
455,-137.0,0
456,-236.0,0
457,-38.0,0
458,-176.0,0
459,-169.0,0
460,-259.0,0
461,-330.0,0
462,-84.0,0
463,-312.0,0
464,-315.0,0
465,-274.0,0
466,-220.0,0
467,-28.0,0
468,-229.0,0
469,-124.0,0
470,-45.0,0
471,-200.0,0
472,-361.0,0
473,-144.0,0
474,-281.0,0
475,-339.0,0
476,-422.0,0
477,-252.0,0
478,-288.0,0
479,-132.0,0
480,-165.0,0
481,-219.0,0
482,-73.0,0
483,-176.0,0
484,-411.0,0
485,-306.0,0
486,-223.0,0
487,-122.0,0
488,-280.0,0
489,-64.0,0
490,-283.0,0
491,-82.0,0
492,-125.0,0
493,-201.0,0
494,-236.0,0
495,-374.0,0
496,-134.0,0
497,-26.0,0
498,-305.0,0
499,-342.0,0
500,-101.0,0
501,-299.0,0
502,-382.0,0
503,-365.0,0
504,-234.0,0
505,-288.0,0
506,-55.0,0
507,-133.0,0
508,-128.0,0
509,-405.0,0
510,-384.0,0
511,-297.0,0
512,-50.0,0
513,-286.0,0
514,-400.0,0
515,-258.0,0
516,-250.0,0
517,-306.0,0
518,-300.0,0
519,-320.0,0
520,-87.0,0
521,-218.0,0
522,-148.0,0
523,-183.0,0
524,-160.0,0
525,-336.0,0
526,-122.0,0
527,-334.0,0
528,-116.0,0
529,-155.0,0
530,-398.0,0
531,-94.0,0
532,-333.0,0
533,-464.0,0
534,-49.0,0
535,-205.0,0
536,-186.0,0
537,-337.0,0
538,-172.0,0
539,-268.0,0
540,-422.0,0
541,-55.0,0
542,-271.0,0
543,-196.0,0
544,-217.0,0
545,-357.0,0
546,-142.0,0
547,-252.0,0
548,-52.0,0
549,-97.0,0
550,-263.0,0
551,-277.0,0
552,-374.0,0
553,-338.0,0
554,-240.0,0
555,-190.0,0
556,-114.0,0
557,-227.0,0
558,-275.0,0
559,-156.0,0
560,-230.0,0
561,-137.0,0
562,-384.0,0
563,-203.0,0
564,-355.0,0
565,-287.0,0
566,-240.0,0
567,-251.0,0
568,-93.0,0
569,-371.0,0
570,-117.0,0
571,-48.0,0
572,-188.0,0
573,-133.0,0
574,-367.0,0
575,-47.0,0
576,-323.0,0
577,-144.0,0
578,-267.0,0
579,-62.0,0
580,-210.0,0
581,-441.0,0
582,-332.0,0
583,-384.0,0
584,-66.0,0
585,-325.0,0
586,-219.0,0
587,-374.0,0
588,-261.0,0
589,-76.0,0
590,-298.0,0
591,-417.0,0
592,-341.0,0
593,-184.0,0
594,-230.0,0
595,-373.0,0
596,-185.0,0
597,-151.0,0
598,-133.0,0
599,-15.0,0
600,-181.0,0
601,-246.0,0
602,-20.0,0
603,-365.0,0
604,-150.0,0
605,-224.0,0
606,-222.0,0
607,-341.0,0
608,-143.0,0
609,-405.0,0
610,-116.0,0
611,-277.0,0
612,-210.0,0
613,-53.0,0
614,-229.0,0
615,-91.0,0
616,-328.0,0
617,-287.0,0
618,-91.0,0
619,-28.0,0
620,-179.0,0
621,-25.0,0
622,-301.0,0
623,-306.0,0
624,-46.0,0
625,-429.0,0
626,-243.0,0
627,-174.0,0
628,-109.0,0
629,-264.0,0
630,-155.0,0
631,-38.0,0
632,-184.0,0
633,-60.0,0
634,-316.0,0
635,-263.0,0
636,-177.0,0
637,-139.0,0
638,-173.0,0
639,-128.0,0
640,-157.0,0
641,-187.0,0
642,-376.0,0
643,-224.0,0
644,-140.0,0
645,-65.0,0
646,-91.0,0
647,-136.0,0
648,-80.0,0
649,-122.0,0
650,-271.0,0
651,-291.0,0
652,-247.0,0
653,-364.0,0
654,-196.0,0
655,-78.0,0
656,-180.0,0
657,-111.0,0
658,-234.0,0
659,-264.0,0
660,-296.0,0
661,-169.0,0
662,-207.0,0
663,-379.0,0
664,-132.0,0
665,-374.0,0
666,-125.0,0
667,-423.0,0
668,-172.0,0
669,-160.0,0
670,-144.0,0
671,-180.0,0
672,-144.0,0
673,-38.0,0
674,-350.0,0
675,-201.0,0
676,-74.0,0
677,-28.0,0
678,-194.0,0
679,-126.0,0
680,-125.0,0
681,-399.0,0
682,-230.0,0
683,-149.0,0
684,-315.0,0
685,-141.0,0
686,-122.0,0
687,-65.0,0
688,-263.0,0
689,-189.0,0
690,-73.0,0
691,-219.0,0
692,-144.0,0
693,-241.0,0
694,-354.0,0
695,-263.0,0
696,-360.0,0
697,-138.0,0
698,-284.0,0
699,-316.0,0
700,-369.0,0
701,-135.0,0
702,-409.0,0
703,-275.0,0
704,-244.0,0
705,-261.0,0
706,-197.0,0
707,-182.0,0
708,-314.0,0
709,-295.0,0
710,-151.0,0
711,-87.0,0
712,-369.0,0
713,-245.0,0
714,-317.0,0
715,-171.0,0
716,-62.0,0
717,-241.0,0
718,-181.0,0
719,-351.0,0
720,-102.0,0
721,-232.0,0
722,-314.0,0
723,-185.0,0
724,-135.0,0
725,-238.0,0
726,-312.0,0
727,-171.0,0
728,-160.0,0
729,-82.0,0
730,-150.0,0
731,-430.0,0
732,-103.0,0
733,-166.0,0
734,-115.0,0
735,-418.0,0
736,-254.0,0
737,-55.0,0
738,-259.0,0
739,-28.0,0
740,-155.0,0
741,-10.0,0
742,-324.0,0
743,-221.0,0
744,-141.0,0
745,-168.0,0
746,-248.0,0
747,-28.0,0
748,-390.0,0
749,-309.0,0
750,-325.0,0
751,-29.0,0
752,-342.0,0
753,-284.0,0
754,-226.0,0
755,-209.0,0
756,-147.0,0
757,-394.0,0
758,-307.0,0
759,-428.0,0
760,-375.0,0
761,-238.0,0
762,-269.0,0
763,-143.0,0
764,-23.0,0
765,-375.0,0
766,-109.0,0
767,-143.0,0
768,-209.0,0
769,-179.0,0
770,-68.0,0
771,-224.0,0
772,-86.0,0
773,-296.0,0
774,-384.0,0
775,-314.0,0
776,-172.0,0
777,-377.0,0
778,-199.0,0
779,-128.0,0
780,-21.0,0
781,-135.0,0
782,-360.0,0
783,-342.0,0
784,-398.0,0
785,-103.0,0
786,-22.0,0
787,-345.0,0
788,-30.0,0
789,-221.0,0
790,-111.0,0
791,-216.0,0
792,-87.0,0
793,-257.0,0
794,-453.0,0
795,-173.0,0
796,-394.0,0
797,-64.0,0
798,-146.0,0
799,-139.0,0
800,-119.0,0
801,-109.0,0
802,-137.0,0
803,-390.0,0
