graine,score,invalides
355,-32.0,0
356,-18.9,0
357,-29.9,0
358,-28.5,0
359,-26.4,0
360,-37.8,0
361,-41.3,0
362,-59.1,0
363,-31.0,0
364,-31.8,0
365,-31.3,0
366,-39.6,0
367,-29.4,0
368,-33.1,0
369,-36.4,0
370,-26.7,0
371,-130.2,0
372,-46.7,0
373,-27.3,0
374,-42.6,0
375,-26.4,0
376,-75.4,0
377,-40.6,0
378,-25.1,0
379,-29.5,0
380,-36.2,0
381,-38.1,0
382,-27.9,0
383,-27.8,0
384,-28.0,0
385,-17.0,0
386,-23.3,0
387,-24.5,0
388,-29.3,0
389,-25.5,0
390,-12.7,0
391,-39.0,0
392,-30.8,0
393,-23.9,0
394,-42.9,0
395,-26.8,0
396,-34.7,0
397,-27.7,0
398,-35.5,0
399,-45.7,0
400,-79.4,0
401,-51.5,0
402,-28.3,0
403,-28.4,0
404,-28.4,0
405,-24.1,0
406,-32.2,0
407,-33.8,0
408,-37.9,0
409,-24.7,0
410,-38.0,0
411,-37.2,0
412,-36.5,0
413,-26.3,0
414,-38.2,0
415,-36.4,0
416,-34.3,0
417,-40.2,0
418,-27.5,0
419,-39.2,0
420,-29.3,0
421,-38.4,0
422,-37.9,0
423,-34.1,0
424,-41.0,0
425,-36.0,0
426,-59.8,0
427,-37.8,0
428,-33.5,0
429,-34.5,0
430,-20.8,0
431,-66.9,0
432,-47.7,0
433,-28.2,0
434,-31.7,0
435,-30.4,0
436,-38.4,0
437,-46.3,0
438,-32.8,0
439,-29.9,0
440,-49.9,0
441,-29.7,0
442,-69.7,0
443,-44.4,0
444,-28.9,0
445,-27.4,0
446,-24.7,0
447,-110.4,0
448,-27.3,0
449,-19.5,0
450,-29.1,0
451,-41.5,0
452,-39.9,0
453,-28.3,0
454,-24.0,0
455,-26.1,0
456,-23.4,0
457,-35.1,0
458,-32.1,0
459,-100.5,0
460,-24.3,0
461,-22.8,0
462,-31.4,0
463,-35.9,0
464,-69.9,0
465,-38.0,0
466,-36.0,0
467,-36.8,0
468,-28.5,0
469,-14.7,0
470,-26.2,0
471,-31.8,0
472,-26.8,0
473,-25.8,0
474,-39.6,0
475,-18.4,0
476,-26.8,0
477,-62.9,0
478,-29.1,0
479,-30.0,0
480,-36.1,0
481,-24.6,0
482,-38.8,0
483,-48.6,0
484,-30.0,0
485,-27.1,0
486,-26.7,0
487,-57.5,0
488,-31.2,0
489,-32.8,0
490,-83.4,0
491,-26.6,0
492,-26.9,0
493,-28.9,0
494,-27.8,0
495,-61.3,0
496,-38.8,0
497,-26.8,0
498,-35.0,0
499,-32.2,0
500,-28.7,0
501,-44.7,0
502,-39.2,0
503,-27.4,0
504,-29.4,0
505,-42.5,0
506,-23.5,0
507,-35.9,0
508,-30.6,0
509,-52.7,0
510,-25.3,0
511,-30.4,0
512,-27.9,0
513,-25.6,0
514,-44.8,0
515,-31.6,0
516,-76.8,0
517,-67.1,0
518,-93.9,0
519,-22.2,0
520,-30.6,0
521,-36.6,0
522,-63.8,0
