graine,score,invalides
355,-227.7,0
356,-227.7,0
357,-121.3,0
358,-220.3,0
359,-121.4,0
360,-121.4,0
361,-227.8,0
362,-227.8,0
363,-228.7,0
364,-33.8,0
365,-221.3,0
366,-221.2,0
367,-220.3,0
368,-132.8,0
369,-221.3,0
370,-220.8,0
371,-121.4,0
372,-227.8,0
373,-227.8,0
374,-227.7,0
375,-221.3,0
376,-220.2,0
377,-221.3,0
378,-226.7,0
379,-226.7,0
380,-121.4,0
381,-121.4,0
382,-132.8,0
383,-27.4,0
384,-220.8,0
385,-221.3,0
386,-227.7,0
387,-220.3,0
388,-227.8,0
389,-24.3,0
390,-221.3,0
391,-227.8,0
392,-221.3,0
393,-121.3,0
394,-168.8,0
395,-121.4,0
396,-220.3,0
397,-222.3,0
398,-121.4,0
399,-227.8,0
400,-29.3,0
401,-246.7,0
402,-227.8,0
403,-34.3,0
404,-246.7,0
405,-227.8,0
406,-220.3,0
407,-220.3,0
408,-121.4,0
409,-221.3,0
410,-227.8,0
411,-221.3,0
412,-227.8,0
413,-227.8,0
414,-121.4,0
415,-221.3,0
416,-121.4,0
417,-227.8,0
418,-33.3,0
419,-220.3,0
420,-35.3,0
421,-227.7,0
422,-167.8,0
423,-121.4,0
424,-221.3,0
425,-167.8,0
426,-121.3,0
427,-226.8,0
428,-166.8,0
429,-220.3,0
430,-221.3,0
431,-221.2,0
432,-167.7,0
433,-226.7,0
434,-221.3,0
435,-220.2,0
436,-220.2,0
437,-220.2,0
438,-121.4,0
439,-121.3,0
440,-221.3,0
441,-220.3,0
442,-121.4,0
443,-220.8,0
444,-227.8,0
445,-221.3,0
446,-121.3,0
447,-221.3,0
448,-121.4,0
449,-221.3,0
450,-227.8,0
451,-168.7,0
452,-222.3,0
453,-121.3,0
454,-220.3,0
455,-221.3,0
456,-221.3,0
457,-121.4,0
458,-220.3,0
459,-228.8,0
460,-158.2,0
461,-220.3,0
462,-220.3,0
463,-222.3,0
464,-227.8,0
465,-221.3,0
466,-220.2,0
467,-220.3,0
468,-226.8,0
469,-221.3,0
470,-221.3,0
471,-228.8,0
472,-227.8,0
473,-220.3,0
474,-227.8,0
475,-221.3,0
476,-121.4,0
477,-246.8,0
478,-220.3,0
479,-24.4,0
480,-221.3,0
481,-220.3,0
482,-243.3,0
483,-34.2,0
484,-247.8,0
485,-121.4,0
486,-29.3,0
487,-122.4,0
488,-167.8,0
489,-220.2,0
490,-220.2,0
491,-158.3,0
492,-227.8,0
493,-221.3,0
494,-221.3,0
495,-242.3,0
496,-207.3,0
497,-221.3,0
498,-221.2,0
499,-227.7,0
500,-121.4,0
501,-227.7,0
502,-220.3,0
503,-221.3,0
504,-221.3,0
505,-220.8,0
506,-227.8,0
507,-221.3,0
508,-220.3,0
509,-227.8,0
510,-221.3,0
511,-221.3,0
512,-227.8,0
513,-221.3,0
514,-221.3,0
515,-157.3,0
516,-220.8,0
517,-167.8,0
518,-121.3,0
519,-220.3,0
520,-34.3,0
521,-242.8,0
522,-121.3,0
523,-121.4,0
524,-158.3,0
525,-221.3,0
526,-122.4,0
527,-221.3,0
528,-121.4,0
529,-121.3,0
530,-221.2,0
531,-220.3,0
532,-208.3,0
533,-220.3,0
534,-221.3,0
535,-221.3,0
536,-121.4,0
537,-221.2,0
538,-228.8,0
539,-221.3,0
540,-227.7,0
541,-145.6,0
542,-220.3,0
543,-227.8,0
544,-227.8,0
545,-220.3,0
546,-158.3,0
547,-220.2,0
548,-121.4,0
549,-221.3,0
550,-227.7,0
551,-121.4,0
552,-228.8,0
553,-157.8,0
554,-246.8,0
555,-227.8,0
556,-227.8,0
557,-121.4,0
558,-122.4,0
559,-220.2,0
560,-227.8,0
561,-227.8,0
562,-168.7,0
563,-120.2,0
564,-227.7,0
565,-222.2,0
566,-220.3,0
567,-27.3,0
568,-227.8,0
569,-220.8,0
570,-121.4,0
571,-221.3,0
572,-220.3,0
573,-220.3,0
574,-220.3,0
575,-122.4,0
576,-166.8,0
577,-221.2,0
578,-227.8,0
579,-122.4,0
580,-227.8,0
581,-121.4,0
582,-227.7,0
583,-220.3,0
584,-121.4,0
585,-220.3,0
586,-221.8,0
587,-227.8,0
588,-222.3,0
589,-220.3,0
590,-221.3,0
591,-227.8,0
592,-227.8,0
593,-221.3,0
594,-221.2,0
595,-158.3,0
596,-121.4,0
597,-220.3,0
598,-121.3,0
599,-227.8,0
600,-220.8,0
601,-121.4,0
602,-220.8,0
603,-221.2,0
604,-227.8,0
605,-227.8,0
606,-121.4,0
607,-121.4,0
608,-220.2,0
609,-121.4,0
610,-246.8,0
611,-227.8,0
612,-220.3,0
613,-121.4,0
614,-222.3,0
615,-220.3,0
616,-221.3,0
617,-227.8,0
618,-121.3,0
619,-121.4,0
620,-220.3,0
621,-221.3,0
622,-221.3,0
623,-221.7,0
624,-220.8,0
625,-222.3,0
626,-221.3,0
627,-221.2,0
628,-220.3,0
629,-221.2,0
630,-221.3,0
631,-220.2,0
632,-158.3,0
633,-242.3,0
634,-220.2,0
635,-227.8,0
636,-221.2,0
637,-132.8,0
638,-221.3,0
639,-221.2,0
640,-221.2,0
641,-121.4,0
642,-227.7,0
643,-121.4,0
644,-86.8,0
645,-220.3,0
646,-220.2,0
647,-220.3,0
648,-220.3,0
649,-221.2,0
650,-220.8,0
651,-110.3,0
652,-220.3,0
653,-221.3,0
654,-227.8,0
655,-121.4,0
656,-121.4,0
657,-221.2,0
658,-220.2,0
659,-220.2,0
660,-121.4,0
661,-227.8,0
662,-220.3,0
663,-121.3,0
664,-121.3,0
665,-207.3,0
666,-33.8,0
667,-121.4,0
668,-227.8,0
669,-226.8,0
670,-227.8,0
671,-221.3,0
672,-221.3,0
673,-228.8,0
674,-220.3,0
675,-122.4,0
676,-221.2,0
677,-122.4,0
678,-121.3,0
679,-121.4,0
680,-221.2,0
681,-33.3,0
682,-221.3,0
683,-220.8,0
684,-121.4,0
685,-220.7,0
686,-220.3,0
687,-158.3,0
688,-222.2,0
